iter	Passed	Remaining
0	145	291442
1	199	199627
2	264	175764
3	346	173129
4	454	181337
5	618	205437
6	725	206657
7	866	215808
8	936	207108
9	1026	204282
10	1157	209372
11	1300	215367
12	1390	212598
13	1588	225362
14	1644	217611
15	1723	213681
16	1798	209738
17	1899	209172
18	1960	204374
19	2014	199436
20	2071	195176
21	2116	190335
22	2179	187339
23	2235	184069
24	2283	180413
25	2331	177026
26	2390	174665
27	2431	171264
28	2495	169577
29	2549	167406
30	2606	165540
31	2660	163624
32	2706	161329
33	2762	159730
34	2809	157742
35	2869	156553
36	2910	154399
37	2976	153694
38	3045	153117
39	3093	151592
40	3152	150622
41	3227	150467
42	3306	150483
43	3361	149412
44	3420	148606
45	3459	146968
46	3518	146192
47	3566	145052
48	3616	143995
49	3667	143038
50	3716	142013
51	3757	140750
52	3804	139770
53	3845	138590
54	3897	137819
55	3942	136844
56	3987	135918
57	4039	135245
58	4085	134411
59	4130	133544
60	4178	132822
61	4227	132139
62	4282	131676
63	4325	130844
64	4373	130186
65	4420	129532
66	4464	128799
67	4508	128104
68	4552	127407
69	4591	126605
70	4641	126097
71	4690	125595
72	4739	125102
73	4778	124380
74	4828	123940
75	4872	123361
76	4917	122820
77	4976	122625
78	5045	122696
79	5097	122336
80	5157	122177
81	5218	122072
82	5270	121719
83	5314	121231
84	5361	120787
85	5410	120424
86	5456	119985
87	5498	119474
88	5540	118975
89	5587	118576
90	5625	118012
91	5663	117456
92	5702	116932
93	5740	116396
94	5770	115706
95	5807	115175
96	5841	114609
97	5879	114103
98	5913	113560
99	5949	113041
100	5982	112484
101	6015	111933
102	6047	111379
103	6082	110879
104	6115	110364
105	6151	109920
106	6178	109315
107	6205	108705
108	6237	108212
109	6268	107712
110	6305	107311
111	6346	106991
112	6388	106678
113	6425	106297
114	6462	105934
115	6498	105542
116	6535	105189
117	6577	104906
118	6619	104636
119	6656	104279
120	6688	103867
121	6718	103414
122	6754	103069
123	6788	102701
124	6822	102341
125	6856	101976
126	6897	101729
127	6933	101407
128	6970	101093
129	7005	100774
130	7043	100496
131	7084	100259
132	7115	99889
133	7149	99566
134	7196	99416
135	7250	99376
136	7388	100478
137	7429	100247
138	7477	100116
139	7529	100028
140	7579	99935
141	7619	99703
142	7661	99492
143	7701	99266
144	7743	99067
145	7785	98865
146	7822	98602
147	7857	98325
148	7901	98158
149	7929	97800
150	7967	97560
151	8001	97278
152	8037	97029
153	8072	96763
154	8107	96500
155	8144	96268
156	8182	96055
157	8215	95782
158	8247	95489
159	8285	95285
160	8321	95054
161	8356	94805
162	8399	94664
163	8442	94519
164	8482	94333
165	8510	94022
166	8548	93830
167	8581	93580
168	8618	93371
169	8653	93156
170	8688	92928
171	8721	92686
172	8757	92483
173	8797	92318
174	8836	92146
175	8867	91895
176	8912	91792
177	8944	91551
178	8979	91349
179	9016	91166
180	9051	90967
181	9094	90840
182	9124	90599
183	9164	90449
184	9197	90231
185	9235	90073
186	9269	89871
187	9307	89706
188	9349	89589
189	9390	89452
190	9439	89404
191	9487	89344
192	9534	89267
193	9569	89081
194	9602	88886
195	9636	88695
196	9674	88546
197	9710	88372
198	9749	88231
199	9788	88095
200	9821	87908
201	9864	87803
202	9904	87680
203	9938	87497
204	9976	87357
205	10016	87233
206	10055	87094
207	10086	86902
208	10119	86715
209	10154	86552
210	10161	86152
211	10192	85965
212	10226	85798
213	10256	85594
214	10289	85423
215	10327	85293
216	10367	85186
217	10408	85080
218	10445	84943
219	10484	84829
220	10522	84700
221	10556	84548
222	10635	84749
223	10678	84668
224	10715	84531
225	10756	84432
226	10792	84293
227	10828	84156
228	10872	84086
229	10907	83940
230	10937	83757
231	10974	83634
232	11017	83555
233	11060	83476
234	11117	83496
235	11151	83349
236	11189	83234
237	11229	83135
238	11236	82794
239	11281	82732
240	11321	82636
241	11363	82549
242	11376	82259
243	11420	82188
244	11457	82072
245	11508	82057
246	11572	82132
247	11627	82141
248	11678	82126
